lema,nilai,nilai1
tekat bersuji,bordir dengan menggunakan benang sutra,bordir dengan menggunakan benang sutra
tekat bertekat,bordir pada pinggiran kain yang dibentuk bunga-bunga dsb yang ditempelkan di baju seprai sebagai hiasan,bordir pada pinggiran kain yang dibentuk bunga-bunga dsb yang ditempelkan di baju seprai sebagai hiasan
tekat timbul,bordir yang bergambar timbul (yang bergambar tidak rata dengan kain dasarnya),bordir yang bergambar timbul (yang bergambar tidak rata dengan kain dasarnya)
tekatan,hasil menekat,yang ditekat
tekek,→ tokek,v → menekek
tekenan,(cak) tanda tangan,hasil meneken
tekeran,batu teker,geretan (dengan batu api)
teknik,pengetahuan dan kepandaian membuat sesuatu yang berkenaan dengan hasil industri (bangunan mesin),cara (kepandaian dsb) membuat atau melakukan sesuatu yang berhubungan dengan seni
teknokrasi,pemerintahan yang dijalankan oleh teknokrat,pengelolaan kehidupan masyarakat yang dilakukan oleh teknisi
teknologi,metode ilmiah untuk mencapai tujuan praktis,ilmu pengetahuan terapan
tekokak,(Sd) tumbuhan perdu yang berdaun seperti daun terung batangnya berduri jarang,Solanum torvum
tekong,(ark) nakhoda (pada jung),juragan
teks,naskah yang berupa kata-kata asli dari pengarang,naskah yang berupa kutipan dari kitab suci untuk pangkal ajaran atau alasan
tekukan,yang dilekukkan (dibengkokkan),alat untuk menekuk (mengelukkan)
tela,(kl) rumah belakang yang dibangun bersambung dengan istana yang menjadi tempat tinggal wanita,dapur-dapur pada senapan model kuno
telaga,danau (di pegunungan ),kolam
telakup,(Jw) daun pelindung (di bawah bunga dengan bentuk lain daripada daun biasa),penutup telinga (tentang topi)
telang,buluh yang tipis sekali biasa dipakai untuk memasak lemang dan biasa dianyam menjadi dinding,→ bunga telang
telangkai,perantara dalam perkawinan (juga dalam perundingan),perantara (wakil)
telapakan,tapak kaki,tapak tangan
telapakan kaki,tapak kaki,anak tangga yang di bawah sekali
telatah,gerak-gerik,tingkah laku
telau,belang yang berwarna lebih muda atau lebih terang pada dasar warna yang tua atau gelap (seperti sinar matahari yang menembus daun-daunan terus ke tanah),belang yang bertumpuk-tumpuk
telepon,pesawat dengan listrik dan kawat untuk bercakap-cakap antara dua orang yang berjauhan tempatnya,pesawat telepon
televisi,sistem penyiaran gambar yang disertai dengan bunyi (suara) melalui kabel atau melalui angkasa dengan menggunakan alat yang mengubah cahaya (gambar) dan bunyi (suara) menjadi gelombang listrik dan mengubahnya kembali menjadi berkas cahaya yang dapat dilihat dan bunyi yang dapat didengar,pesawat penerima gambar siaran televisi
telinga,organ tubuh untuk mendengar,alat pendengaran yang terletak di kanan kiri kepala (manusia atau binatang)
telinga gajah,telinga yang lebar,ikan laut
telinga kuali,tangkai untuk mengangkat kuali,(ki) orang yang tahan hati walaupun dimarahi dan dikata-katai oleh orang lain
telingkung,→ telingkung daun,→ lingkung
telor,→ telur,→ telur
teluk,bagian laut yang menjorok ke darat,keluk (di pantai)
teluk rantau,teluk dan rantau,(ki) daerah sekeliling
teluki,kain sutra,bunga serunai
telur,sel (terdapat pada wanita) yang akan menjadi bakal anak jika dibuahi oleh sperma,benda bercangkang yang mengandung zat hidup bakal anak yang dihasilkan oleh unggas (ayam itik burung dsb) biasanya dimakan (direbus diceplok didadar dsb)
telur busuk,telur bungkus,(ki) malu
telur gabus,telur ikan gabus,penganan yang dibuat dari tepung beras (terigu) dibentuk seperti telur ikan gabus
teman,kawan,sahabat
tembakau,tumbuhan berdaun lebar daunnya diracik halus dan dikeringkan untuk bahan rokok cerutu dsb,Nicotiana tabacum
tembang,syair yang diberi berlagu (untuk dinyanyikan),nyanyian
tembang cilik,(Jw) tembang yang diatur secara baru (dalam sastra Jawa Baru dilihat dari jumlah baris suku kata dan vokal pada akhir baris),tembang yang diatur secara baru (dalam sastra Jawa Baru dilihat dari jumlah baris suku kata dan vokal pada akhir baris)
tembang gede,(Jw) tembang yang didasarkan pada jumlah baris suku kata dan vokal pada akhir baris dari tembang-tembang yang berasal dari zaman permulaan Kerajaan Surakarta,tembang yang didasarkan pada jumlah baris suku kata dan vokal pada akhir baris dari tembang-tembang yang berasal dari zaman permulaan Kerajaan Surakarta
tembang kawi,tembang gede,tembang gede
tembang macapat,tembang cilik,tembang cilik
tembang tengahan,(Jw) tembang yang kata-katanya bersumber dari bahasa Jawa Tengahan,tembang yang kata-katanya bersumber dari bahasa Jawa Tengahan
tembatar,ulat yang suka melubangi kayu kapal dalam air,kapang
tembatu,(ark) buah yang keras (terutama buah nipah),pisang yang bijinya keras seperti batu
tembel,→ timbil,→ tambal
temberang,(Lay) tali-temali di perahu (kapal) untuk memperteguh tiang,cakap yang muluk-muluk
tembereng,pecahan (beling dsb),tembikar
tembikar,barang dari tanah liat yang dibakar dan berlapis gilap,porselen
tembok,dinding dari bata batako adonan semen,tambak (bendung) dari batu (batu bata dsb)
tembolok,kantong tempat makanan pada leher (burung ayam dsb),(kas) perut
tembung,tongkat pemukul atau penangkis (sebagai senjata berkelahi),v → bertembung
tembusan,jalan (sungai dsb) yang tembus,terusan
temenggung,→ tumenggung,→ ikan
temiang,→ buluh temiang,sumpitan
temilang,→ tembilang,tumbuhan keranji bulan Aglaia odoratissima
tempaan,yang sudah ditempa,gemblengan
tempahan,pesanan (tentang penginapan dsb),bukan kodian (tentang baju peci)
tempat,sesuatu yang dipakai untuk menaruh (menyimpan meletakkan dsb),wadah
tempawak,pohon yang tingginya mencapai 30 m diameter batang 70 cm berbatang tegak cabang berada agak jauh dari tanah kayunya dapat digunakan sebagai bahan bangunan daunnya berasa masam digunakan sebagai obat sakit gusi buahnya yang matang digunakan sebagai penyedap masakan,Elaeocarpus floribundua
tempelan,tempat menempelkan (iklan dsb),barang yang ditempelkan
tempias,titik-titik air yang berhamburan atau bepercikan (dari air hujan ombak yang menempuh perahu pancaran air),debu dsb yang berhamburan
tempik,pekik keras,(Jw kas) alat kelamin perempuan
tempilai,pohon yang kayunya baik untuk bahan rumah,Urandra corniculata
tempinis,pohon yang kayunya kuat dan tahan lama Sloetia elongata seperti -- hitam -- merah -- putih,kayu tempinis
tempo,waktu,masa
tempo hari,(cak) dahulu pada waktu itu,baru-baru ini
tempui,pohon kayunya baik untuk bahan rumah dsb buahnya dapat dibuat arah,Baccaurea macrophylla
tempunai,pohon yang buahnya seperti buah nangka berukuran kecil,mandalika
tempurung,kulit buah yang keras (seperti kulit buah kelapa dsb),belahan kulit kelapa yang keras (untuk tempat air dsb)
temuan,hasil memikirkan dan melakukan percobaan,unsur kebudayaan baru yang diperoleh berdasarkan eksperimen
tenaga,daya yang dapat menggerakkan sesuatu,kekuatan
tenaga kerja,orang yang bekerja atau mengerjakan sesuatu,pekerja pegawai dsb
tenda,kemah,kain mota untuk kemah (di kapal perahu dsb)
tender,(Dag) tawaran untuk mengajukan harga memborong pekerjaan atau menyediakan barang,gerbong kereta api (untuk tempat batu bara kayu atau air)
teng,→ tank,tangki
tengah,tempat (arah titik) di antara dua tepi (batas),daerah yang bukan pinggiran
tengah naik,mulai naik kira-kira pukul 09.00 (tentang matahari),berumur sekitar 141tahun (tentang anak-anak)
tengahan,ukuran setengah dari (liter botol),setengah rupiah
tengar,bakau yang tumbuh di rawa-rawa di bagian dalam hutan bakau kulit kayunya banyak dipakai sebagai pewarna batik atau penyamak jala Ceriops tagal,kulit kayu tengar
tengas,ikan air tawar Acrossocheilus hexagonolepis,cap pemilik (pada hewan piaraan)
tenggang,jangka waktu untuk berpikir berusaha dsb,upaya
tenggayun,pohon getahnya beracun dapat digunakan untuk membunuh tikus dsb,Parartocarpus triandra
tengguli,pohon yang daunnya dapat menyebabkan orang mabuk Cassia fistula,daun tengguli
tengkawang,pohon yang bijinya mengandung lemak nabati bernilai gizi sebagai minyak goreng digunakan dalam industri makanan sabun obat-obatan dan kosmetik,Dipterocarpaceae
tengking,bunyi nyaring dan tinggi (seperti ringkik kuda dsb),suara tinggi keras (seperti suara orang marah membentak menghardik)
tengkuk,kuduk (leher bagian belakang),benda (batang tandan tangkai) yang membengkok menyerupai kuduk
tengkuluk,kain kepala,kerudung
tengteng,penganan (kue) dari kacang tanah wijen dsb yang diaduk dan dimasak dengan gula dikeringkan kemudian dipotong-potong,ting-ting
tenor,jenis suara tertinggi untuk orang laki-laki,orang yang mempunyai suara tenor
tentara,laskar,prajurit
tenung,kepandaian dsb untuk mengetahui (meramalkan) sesuatu yang gaib (seperti meramalkan nasib mencari orang hilang),ilmu hitam untuk mencelakakan orang
tenungan,ramalan (tentang nasib orang dsb),hasil menenung atau mencelakakan orang dengan ilmu hitam
teori,pendapat yang didasarkan pada penelitian dan penemuan didukung oleh data dan argumentasi,penyelidikan eksperimental yang mampu menghasilkan fakta berdasarkan ilmu pasti logika metodologi argumentasi
teori kasus,(Ling) teori linguistik generatif yang menganggap bahwa setiap nomina mempunyai kasus abstrak pada struktur batin dan kemudian diwujudkan dengan bentuk morfologis tertentu pada struktur lahir,teori linguistik yang menggunakan peran relasional semantis sebagai konsep dasar misal pelaku penderita
teori onomatope,teori linguistik yang menyatakan bahwa ujaran manusia itu berasal dari tiruan bunyi binatang dan alam,kata yang dibentuk berdasarkan tiruan bunyi
tepak,tepuk,pukul
tepas,anyaman bambu (gedek atau bilik) untuk dinding tutupan sekat dsb,serambi depan
tepatan,orang atau tempat yang didatangi (untuk menumpang bermalam dsb),orang sebagai tempat meminta pertolongan perlindungan dsb
tepek,selempeng (tembakau dsb),sesuatu yang melekat atau menempel (seperti tanah liat lumpur dan kapur)
tepi,bagian bidang (permukaan) yang di luar sekali,pinggir
tepuk,perbuatan menamparkan kedua telapak tangan untuk menimbulkan bunyi,bunyi yang dihasilkan oleh kedua tangan yang ditamparkan
tepukan,suara hasil tamparan tapak tangan pada tapak tangan yang lain,perbuatan menepuk atau menepak
tepung,barang yang lumat-lumat (karena ditumbuk digiling dsb),serbuk yang lumat
tepung tulang,tulang yang digiling sampai menjadi tepung untuk bahan makanan ternak,pupuk terbuat dari tulang yang ditumbuk setelah lemak gelatin dan bahan-bahan lain dikeluarkan dari tulang itu
ter,barang cair yang hitam warnanya untuk mengecat,aspal
tera,tanda berupa gambar (huruf lambang dsb) yang dicapkan pada lak timah surat penting atau sarung surat (amplop) bingkisan pos segel dsb,rekaman cap (stempel)
teraan,sesuatu yang ditera,cetakan
teracak,kuku kuda (lembu dsb),bekas telapak kaki
terada,pohon yang kayunya kuat dan tahan rayap,Sloetia elongata
teraju,timbangan yang menggunakan dua buah piringan yang digantungkan dengan rantai (tali) pada kedua ujung lengannya,neraca
terak,ampas leburan logam (timah dsb) yang dilebur dalam tanur tinggi rupanya sebagai batu kaca,sisa kokas atau arang batu yang tidak terbakar
terakota,tembikar yang tidak dilapisi glasir dibuat dari tanah liat yang dibakar sehingga warnanya merah kecokelat-cokelatan (digunakan sebagai benda hias atau pelapis lantai),merah kecokelat-cokelatan
terali,kisi-kisi,jerjak (pada jendela pintu sangkar dsb)
teraling,pialing Psitacula incerta,pohon yang kayunya dibuat roda pedati ramuan rumah dsb
terap,pohon sukun hutan daunnya lebar-lebar kayunya sangat cocok untuk bahan rumah karena tahan rayap,Artocarpus blumei
terapan,keris yang bilahnya berlekuk panjang di tengahnya,salut pada sarung keris
terarium,model atau cara menanam tanaman hias di dalam wadah yang tembus pandang dan ditata sehingga tampak seperti taman,tanah berpagar untuk memelihara binatang darat yang kecil-kecil
teras,bidang tanah datar yang miring,bidang tanah yang lebih tinggi daripada yang lain (biasanya ditumbuhi rumput)
teratak,dangau,gubuk
terbium,(Kim) logam tanah langka yang ditemukan oleh Monsander,unsur dengan nomor atom 6berlambang Tb bobot atom 1589254
teri,ikan laut kecil-kecil tergolong marga Stolephorus dapat dimakan,(ki) segala sesuatu yang kecil atau tidak berharga
teriba,tumbuhan yang menyerupai pohon tetapi tidak terlalu tinggi kira-kira 15m,semak tinggi
terigu,biji-bijian sebangsa beras (padi),gandum
teritik,nama pohon Parinarium corymbosum,v → berteritik
terjemahan,salinan bahasa,alih bahasa (dari suatu bahasa ke bahasa lain)
terkaman,hasil menerkam,(ki) cengkaman
term,istilah,kata atau frasa yang menjadi subjek atau predikat dari sebuah proposisi
terminal,perhentian penghabisan (bis kereta api dsb),stasiun
terminologi,peristilahan (tentang kata-kata),ilmu mengenai batasan atau definisi istilah
termofosforesens,pemanasan cahaya yang disebabkan oleh penyerapan radiasi dan berlangsung terus untuk waktu yang cukup lama setelah radiasi ini berhenti,pemancaran cahaya tanpa pemanasan
termonuklir,hubungan transformasi dalam nuklir atom atau hukum berat atom yang pada permulaannya memerlukan suhu sangat tinggi,keperluan atau hubungan untuk bom termonuklir
ternak,binatang yang dipiara (lembu kuda kambing dsb) untuk dibiakkan dengan tujuan produksi,(ark) yang berasal dari
terobosan,hasil menerobos,perbuatan menerobos
terompah,lapik kaki yang dibuat dari kulit karet atau kayu yang dilengkapi dengan tali kulit sebagai penguat atau kayu bertudung bulat tempat ibu jari kaki dan jari kaki tengah menjepit,kasut kayu
teropong,alat untuk melihat barang yang jauh-jauh,keker
terpentin,minyak (damar yang cair) untuk memasak cat dsb,zat yang berasal dari tumbuhan pinus dsb berupa cairan untuk mengencerkan cat tinta dsb
tersier,yang ketiga,(Ant) primata yang berasal dari zaman paleosen dan eosen dan yang kini masih dapat ditemukan di Indonesia dan daerah lain di Asia Tenggara
tertua,yang paling tua,sulung
terubuk,nama ikan laut banyak ditangkap di Bengkalis Clupea (Alosa),telur ikan terubuk yang dikeringkan
teruna,pemuda,muda
terung,tumbuhan yang buahnya disayur atau dimakan mentah bentuk buahnya bervariasi antara bulat panjang bulat telur atau bulat pendek warna buah bervariasi antara putih kehijau-hijauan hijau pucat atau ungu,Solanum melongena
teruntum,pohon yang hidup di pantai kayunya keras bunganya seperti bunga jeruk,Lumnitzera littorea
terup,→ truf,(ark cak) golongan
terusan,kali buatan,kanal
terusi,benda yang kebiru-biruan warnanya berasal dari tembaga untuk obat puru,CuSO45H2O
tes,ujian tertulis lisan atau wawancara untuk mengetahui pengetahuan kemampuan bakat dan kepribadian seseorang,percobaan untuk menguji kelaikan jalan suatu kendaraan bermotor umum
tesaurus,buku referensi berupa daftar kata dengan sinonimnya,buku referensi berupa informasi tentang berbagai perangkat konsep atau istilah dalam pelbagai bidang kehidupan atau pengetahuan
tesis,pernyataan atau teori yang didukung oleh argumen yang dikemukakan dalam karangan,untuk mendapatkan gelar kesarjanaan pada perguruan tinggi
tester,orang yang mengetes,pengetes
testimoni,lembaran hukum Musa yang berisi sepuluh Perintah Tuhan,(Huk) bukti yang diberikan saksi di pengadilan
testing,pengujian (percobaan) untuk mengetahui tingkat kemampuan (pengetahuan keterampilan seseorang dsb),percobaan (pengujian) sesuatu untuk mengetahui mutunya (nilainya kekuatannya susunannya dsb)
tetampan,talam,(kl) selampai dari sutra kuning (dipakai pada bahu oleh pegawai istana bila menghadap raja atau untuk menudungi barang-barang yang dipersembahkan kepada raja)
tetangga,orang (rumah) yang rumahnya berdekatan atau sebelah-menyebelah,jiran
teteh,(Sd) panggilan kepada kakak perempuan,sudah jelas ucapannya (tentang anak kecil)
tetek,susu,payudara
tetes,benda cair (air dsb) yang jatuh menitik karena berat,titik
tetoron,serat sintetis untuk bahan tekstil,bahan untuk pakaian dsb yang dibuat dari serat sintetis dan kapas
tetua,bintik-bintik hitam di muka (di pipi),orang tua (tokoh)
tiang,tonggak panjang (dari bambu besi kayu dsb) yang dipancangkan untuk suatu keperluan,tonggak panjang yang dipasang di perahu atau kapal untuk memasang layar dsb
tiang pancang,tiang utama yang tegak terhunjam ke tanah untuk penguat atau penyangga bangunan (rumah dsb),(ki) penunjang (yang) utama
tiang turus,tiang atau batang pohon untuk mengukuhkan pagar dsb,(ki) pelopor
tiara,hiasan kepala bertatahkan mutiara yang dipakai para ratu,mahkota bersusun tiga (seperti yang dipakai oleh Paus)
tib,ilmu mengenai obat-obatan atau kesehatan,ilmu tib
tik,tiruan bunyi detik arloji hujan dsb,mesin tik
tikam,tusukan (dengan barang yang tajam misal keris atau tombak),luka kena --  luka karena tertusuk senjata tajam
tikaman,hasil menikam,tusukan (dengan senjata tajam)
tikas,deret sarap yang terjadi dari lumut sampah dsb yang tertinggal di pantai bekas air pasang,bekas tekanan
tike,tanaman umbinya dapat dimakan (direbus dan dibuat emping) Heleocharis plantaginoidea,(Jw) candu madat yang sudah dimasak
